

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: -0.9877552789821031; player life: 59.20000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 74.86011544777375; player life: 0; enemy life: 10.0; time: 464

RUN: run status: enemy: 5; fitness: -0.08775527898210633; player life: 68.2000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 91.59853908213779; player life: 71.20000000000027; enemy life: 0; time: 250

RUN: run status: enemy: 5; fitness: -3.74775527898211; player life: 31.600000000000264; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 11.120644195539562; player life: 0; enemy life: 80.0; time: 972

RUN: run status: enemy: 5; fitness: 25.712244721017896; player life: 56.20000000000032; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.546785410760524; player life: 0; enemy life: 100; time: 697

RUN: run status: enemy: 5; fitness: -6.517671272912275; player life: 0; enemy life: 100; time: 677

RUN: run status: enemy: 5; fitness: 91.29455310235679; player life: 69.40000000000029; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: 2.654363639171404; player life: 0; enemy life: 90.0; time: 570

RUN: run status: enemy: 5; fitness: 85.2523116264367; player life: 19.000000000000234; enemy life: 0; time: 771

RUN: run status: enemy: 5; fitness: 88.86322890233346; player life: 44.800000000000296; enemy life: 0; time: 275

RUN: run status: enemy: 5; fitness: 87.15167900420626; player life: 29.20000000000026; enemy life: 0; time: 320

RUN: run status: enemy: 5; fitness: 11.501717850523566; player life: 0; enemy life: 80.0; time: 664

RUN: run status: enemy: 5; fitness: 89.72866891806656; player life: 61.600000000000335; enemy life: 0; time: 621

RUN: run status: enemy: 5; fitness: 11.512315981515389; player life: 0; enemy life: 80.0; time: 657

RUN: run status: enemy: 5; fitness: -1.527755278982105; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.31946701359934; player life: 52.00000000000031; enemy life: 0; time: 358

RUN: run status: enemy: 5; fitness: 41.91224472101789; player life: 38.20000000000028; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: 90.31052820481507; player life: 59.20000000000033; enemy life: 0; time: 273

